GO Primary Key (Year plus Incident Number),Council District,GO Highest Offense Desc,Crime Type,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate
20185023772,4,BURGLARY OF VEHICLE,Theft,2018-06-23,1418 E ANDERSON LN WB,N,2018-06-25,I,78753,18.13,3131324,10095027
20185028479,10,BURGLARY OF VEHICLE,Theft,2018-07-26,8429 ETIENNE CV,N,2018-07-27,B,78759,17.07,3112520,10109761
20185032148,2,THEFT,Theft,2018-08-19,4602 E STASSNEY LN,N,2018-08-20,F,78744,24.11,3114210,10043920
20182210646,5,BURG NON RESIDENCE SHEDS,Burglary,2018-08-09,809 S LAMAR BLVD,N,2018-08-10,D,78704,13.03,3108921,10066697
20188004256,8,THEFT FROM PERSON,Theft,2018-10-22,2100 BARTON SPRINGS RD,N,2018-12-11,D,78746,19.11,3106393,10070460
20188003658,9,THEFT OF AUTO PARTS,Theft,2018-09-14,4505 DUVAL ST,N,2018-09-19,B,78751,3.04,3120003,10085209
20185040024,6,THEFT,Theft,2018-10-08,11313 DODGE CATTLE DR,,,A,78717,203.11,3097342,10155198
20181731686,4,AGG ASLT STRANGLE/SUFFOCATE,Agg Assault,2018-06-22,8885 RESEARCH BLVD SVRD NB,N,2018-06-28,E,78758,18.2,3120748,10108093
20181991300,9,THEFT,Theft,2018-07-18,1000 E 41ST ST,N,2018-07-25,B,78751,3.02,3121344,10082703
20182650890,3,THEFT BY SHOPLIFTING,Theft,2018-09-22,710 E BEN WHITE BLVD SVRD WB,N,2018-09-26,D,78704,23.08,3111061,10053193
20185042856,3,THEFT,Theft,2018-10-25,1301 CROSSING PL,N,2018-11-14,H,78741,23.17,3123895,10059508
20185032287,5,BURGLARY OF VEHICLE,Theft,2018-08-20,9900 S IH 35 SVRD SB,N,2018-08-23,F,78748,24.21,3099324,10030080
20185037230,7,THEFT,Theft,2018-09-19,10401 RESEARCH BLVD NB,,,A,78759,17.53,3112432,10117331
20185042723,8,THEFT,Theft,2018-10-25,1701 MISTYWOOD DR,N,2018-10-25,D,78746,19.1,3095104,10069177
20188004230,8,THEFT OF BICYCLE,Theft,2018-07-21,2113 ANDREW ZILKER RD,N,2018-10-29,D,78746,19.11,3105980,10069666
20188003176,2,THEFT,Theft,2018-08-17,3600 PRESIDENTIAL BLVD,N,2018-10-10,AP,78719,9800,3138850,10047302
20185034328,7,THEFT,Theft,2018-09-01,5251 BURNET RD,N,2018-09-12,B,78756,2.05,3114911,10091697
