GO Primary Key (Year plus Incident Number),Council District,GO Highest Offense Desc,Crime Type,GO Report Date,GO Location,GO X Coordinate,GO Y Coordinate,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract
20185050350,3,THEFT,Theft,14-Dec-18,836 AIRPORT BLVD,3130099.00,10066905,N,28-Dec-18,C,78702,21.11
20183121228,1,AGG ASSAULT,Agg Assault,8-Nov-18,3403 CAMBRIDGE CT,3127691.00,10076839,O,19-Mar-19,C,78723,21.09
20185047122,8,BURGLARY OF VEHICLE,Theft,23-Nov-18,2901 S CAPITAL OF TEXAS HWY NB,3094135.00,10066586,N,28-Nov-18,D,78746,19.1
20183150753,7,BURGLARY NON RESIDENCE,Burglary,11-Nov-18,811 W ST JOHNS AVE,3121229.00,10096963,,,I,78757,15.04
20185051935,7,THEFT,Theft,26-Dec-18,2800 HANCOCK DR,3111833.00,10092480,N,27-Dec-18,B,78731,1.01
20185048912,10,THEFT OF LICENSE PLATE,Theft,5-Dec-18,7514 N MOPAC EXPY SVRD SB,3112284.00,10103073,N,1-Jan-19,B,78731,17.52
20183342096,10,BURGLARY NON RESIDENCE,Burglary,30-Nov-18,11724 RESEARCH BLVD SVRD SB,3111524.00,10125951,N,26-Mar-19,A,78759,25
20185030761,5,BURGLARY OF VEHICLE,Theft,10-Aug-18,8004 PERSIMMON TRL,3096690.00,10040639,N,13-Aug-18,F,78745,24.24
20183430781,1,BURGLARY NON RESIDENCE,Burglary,9-Dec-18,10710 JOSEPH CLAYTON DR,3134058.00,10108796,N,10-Jan-19,E,78753,18.33
20182331561,7,BURGLARY OF VEHICLE,Theft,21-Aug-18,9595 STONELAKE BLVD,3114759.00,10113937,N,27-Aug-18,A,78759,17.53
20185052114,7,BURGLARY OF VEHICLE,Theft,27-Dec-18,1200 W HOWARD LN,3136012.00,10128062,N,31-Dec-18,E,78660,18.4
20183371554,3,BURGLARY OF RESIDENCE,Burglary,3-Dec-18,1600 WICKERSHAM LN,3122229.00,10059265,N,5-Dec-18,H,78741,23.18
20185049472,3,BURGLARY OF VEHICLE,Theft,9-Dec-18,4710 E 5TH ST,3127770.00,10065674,N,10-Dec-18,C,78702,21.11
20182010119,3,BURGLARY OF VEHICLE,Theft,20-Jul-18,710 E BEN WHITE BLVD SVRD WB,3111061.00,10053193,N,24-Jul-18,D,78704,23.08
20183300228,2,AUTO THEFT,Auto Theft,26-Nov-18,8205 BEACONCREST DR,3100065.00,10038095,N,29-Nov-18,F,78748,24.22
20188004997,9,THEFT OF BICYCLE,Theft,17-Dec-18,2605 WHITIS AVE,3115129.00,10078878,N,2-Jan-19,B,78705,6.01
20185051664,1,BURGLARY OF VEHICLE,Theft,22-Dec-18,2307 MANOR RD,3122175.00,10076839,N,24-Dec-18,C,78722,4.02
20182421340,7,THEFT,Theft,30-Aug-18,2525 W ANDERSON LN,3116494.00,10102601,N,6-Sep-18,B,78757,15.01
20183560694,5,THEFT BY SHOPLIFTING,Theft,22-Dec-18,9300 S IH 35 SVRD SB,3100423.00,10033116,C,22-Dec-18,F,78748,24.21
20183570910,3,BURGLARY OF RESIDENCE,Burglary,23-Dec-18,4501 E RIVERSIDE DR,3121153.00,10058007,N,19-Feb-19,H,78741,23.14
20183610035,4,AGG ASLT W/MOTOR VEH FAM/DAT V,Agg Assault,27-Dec-18,8210 N IH 35 SVRD SB,3128087.00,10099147,N,27-Dec-18,E,78753,18.06
20185027878,7,BURGLARY OF VEHICLE,Theft,23-Jul-18,12536 N IH 35 SVRD SB,3134045.00,10121842,N,24-Jul-18,E,78753,18.26
20188002923,10,BURGLARY OF VEHICLE,Theft,29-Jul-18,10306 MORADO CV,3109774.00,10119232,N,6-Aug-18,A,78759,17.22
20183280641,5,THEFT OF TRAILER,Theft,24-Nov-18,1515 S LAMAR BLVD,3107635.00,10064594,N,27-Nov-18,D,78704,13.03
20185051344,2,THEFT,Theft,20-Dec-18,3600 PRESIDENTIAL BLVD,3138850.00,10047302,N,15-Jan-19,AP,78719,9800
20185024515,2,THEFT,Theft,28-Jun-18,4140 GOVERNORS ROW,3112240.00,10051266,,,F,78744,24.11
20188003272,7,BURGLARY OF VEHICLE,Theft,12-Aug-18,3109 CARLISLE DR,3111746.00,10099137,N,27-Aug-18,B,78757,15.01
20185051506,4,THEFT BY SHOPLIFTING,Theft,21-Dec-18,1628 OHLEN RD,3121912.00,10106009,N,3-Jan-19,E,78758,18.05
20183600083,4,AUTO THEFT,Auto Theft,26-Dec-18,10111 N LAMAR BLVD,3129379.00,10108475,C,1-Jan-19,E,78753,18.23
20181840638,3,BURGLARY NON RESIDENCE,Burglary,3-Jul-18,3601 S CONGRESS AVE,3109152.00,10055635,N,3-Dec-18,D,78704,23.08
20185029515,3,THEFT OF LICENSE PLATE,Theft,2-Aug-18,506 WOLVERTON DR,3108109.00,10049748,N,2-Aug-18,D,78745,24.03
20183510469,2,THEFT,Theft,17-Dec-18,3600 PRESIDENTIAL BLVD,3138850.00,10047302,O,19-Dec-18,AP,78719,9800
20185031672,1,BURGLARY OF VEHICLE,Theft,16-Aug-18,7107 RITCHIE DR,3147108.00,10084205,N,27-Aug-18,C,78724,22.02
20185031153,5,THEFT,Theft,13-Aug-18,4040 S LAMAR BLVD SB,3098089.00,10059191,N,13-Aug-18,D,78704,19.01
20183420520,2,BURGLARY NON RESIDENCE,Burglary,8-Dec-18,8001 S IH 35 SVRD NB,3103727.00,10037213,N,29-Jan-19,F,78744,24.29
20182251639,9,THEFT,Theft,13-Aug-18,823 CONGRESS AVE,3114720.00,10071679,N,13-Aug-18,G,78701,11
20185047546,9,THEFT OF LICENSE PLATE,Theft,27-Nov-18,1700 E 38TH HALF ST,3123373.00,10079595,,,C,78722,3.07
20181891391,5,RAPE,Rape,8-Jul-18,,,,C,4-Feb-19,D,78745,17.5
20182021036,1,ROBBERY BY THREAT,Robbery,21-Jul-18,7112 ED BLUESTEIN BLVD NB,3139137.00,10088360,N,4-Oct-18,C,78724,22.01
20185023711,9,BURGLARY OF VEHICLE,Theft,23-Jun-18,303 RED RIVER ST,3115875.00,10069262,N,25-Jun-18,G,78701,11
20181711566,4,AUTO THEFT,Auto Theft,20-Jun-18,10501 GOLDEN MEADOW DR,3123877.00,10112537,N,28-Jun-18,E,78758,18.21
20185025283,3,THEFT,Theft,4-Jul-18,2200 S PLEASANT VALLEY RD,3119912.00,10057599,N,16-Jul-18,H,78741,23.16
20183480941,4,THEFT,Theft,14-Dec-18,5621 N IH 35 SVRD NB,3125467.00,10088596,C,14-Dec-18,I,78723,21.05
20188003407,7,THEFT OF BICYCLE,Theft,25-Aug-18,2425 ASHDALE DR,3117104.00,10103923,N,6-Sep-18,B,78757,18.17
20182431141,4,BURGLARY OF RESIDENCE,Burglary,31-Aug-18,1806 W RUNDBERG LN,3122712.00,10109001,N,4-Sep-18,E,78758,18.2
20183300293,4,BURGLARY OF VEHICLE,Theft,26-Nov-18,1102 COLONY NORTH DR,3124081.00,10103137,C,26-Nov-18,E,78758,18.05
20181750771,3,THEFT,Theft,24-Jun-18,4901 S 1ST ST,3104104.00,10051023,N,9-Jul-18,D,78745,24.02
20185034368,10,BURGLARY OF VEHICLE,Theft,1-Sep-18,7806 N CAPITAL OF TEXAS HWY NB,3102156.00,10110368,N,3-Sep-18,B,78731,17.05
20182680342,10,THEFT OF TRAILER,Theft,25-Sep-18,7401 YAUPON DR,3101912.00,10122765,N,17-Oct-18,A,78759,17.55
20182010039,7,BURGLARY OF VEHICLE,Theft,20-Jul-18,7000 ARDATH ST,3114467.00,10100186,N,27-Jul-18,B,78757,15.01
20182251240,3,BURGLARY NON RESIDENCE,Burglary,13-Aug-18,2400 E 6TH ST,3122936.00,10067911,N,9-Oct-18,C,78702,9.02
20183281090,4,BURGLARY OF RESIDENCE,Burglary,24-Nov-18,10701 MACMORA RD,3126063.00,10112227,N,26-Nov-18,E,78758,18.21
20185026876,5,BURGLARY OF VEHICLE,Theft,16-Jul-18,2429 INDEPENDENCE DR,3094315.00,10050995,N,16-Jul-18,D,78745,17.13
20188003739,3,BURGLARY OF VEHICLE,Theft,24-Sep-18,1907 E 4TH ST,3120709.00,10067753,N,27-Sep-18,C,78702,9.02
20183631210,9,THEFT,Theft,29-Dec-18,4600 MUELLER BLVD,3125013.00,10082433,C,4-Jan-19,B,78723,3.06
20183300518,10,BURGLARY NON RESIDENCE,Burglary,26-Nov-18,1600 W 38TH ST,3111770.00,10085682,N,17-Dec-18,B,78731,1.01
20183480419,7,AUTO THEFT,Auto Theft,14-Dec-18,1902 PALO DURO RD,3115700.00,10094937,N,16-Dec-18,I,78757,15.05
20182690916,2,THEFT,Theft,26-Sep-18,3600 PRESIDENTIAL BLVD,3138850.00,10047302,N,20-Nov-18,AP,78719,9800
20185026661,5,BURGLARY OF VEHICLE,Theft,14-Jul-18,1705 BROOKHAVEN DR,3102334.00,10067897,N,16-Jul-18,D,78704,19.01
20181960243,1,ROBBERY BY ASSAULT,Robbery,15-Jul-18,700 BLOCK NAVASOTA ST,3119055.00,10069785,N,20-Aug-18,G,78702,9.01
20185023786,9,BURGLARY OF VEHICLE,Theft,23-Jun-18,1317 W 10TH ST,3109721.00,10074012,N,25-Jun-18,B,78703,12
